respondent_id,party_id,ideology_lr_scale,gender,education,income,income_band,age
589,Liberal Party,3.0,A man,Master's degree,150000.0,"$110,001 to $150,000",73.0
590,,,A man,Some university,90000.0,"$60,001 to $90,000",56.0
591,Conservative Party,8.0,A man,Professional degree or doctorate,275000.0,"More than $200,000",74.0
598,NDP,10.0,A woman,Completed college/CEGEP,135000.0,"$110,001 to $150,000",52.0
600,Conservative Party,7.0,A woman,Some college/CEGEP,199000.0,"$150,001 to $200,000",62.0
604,Liberal Party,3.0,A man,Completed secondary/high school,85000.0,"$60,001 to $90,000",18.0
606,Liberal Party,9.0,A man,Completed secondary/high school,35000.0,"$30,001 to $60,000",59.0
607,Liberal Party,4.0,A woman,Bachelor's degree,8000.0,"$1 to $30,000",44.0
609,Green Party,1.0,A man,Bachelor's degree,109000.0,"$90,001 to $110,000",34.0
610,Liberal Party,3.0,A woman,Master's degree,135000.0,"$110,001 to $150,000",51.0
611,NDP,0.0,A woman,Some university,30000.0,"$1 to $30,000",63.0
612,NDP,0.0,A man,Bachelor's degree,189000.0,"$150,001 to $200,000",42.0
615,NDP,3.0,A woman,Completed college/CEGEP,125000.0,"$110,001 to $150,000",51.0
619,Conservative Party,,A woman,Completed college/CEGEP,100000.0,"$90,001 to $110,000",53.0
620,Liberal Party,,A woman,Bachelor's degree,91000.0,"$90,001 to $110,000",34.0
626,Liberal Party,6.0,A woman,Master's degree,150000.0,"$110,001 to $150,000",30.0
634,NDP,0.0,A man,Some college/CEGEP,71000.0,"$60,001 to $90,000",56.0
635,,4.0,A woman,Master's degree,34000.0,"$30,001 to $60,000",28.0
643,Conservative Party,8.0,A woman,Completed college/CEGEP,49000.0,"$30,001 to $60,000",79.0
646,Liberal Party,9.0,A woman,Professional degree or doctorate,200000.0,"$150,001 to $200,000",41.0
649,NDP,0.0,A man,Bachelor's degree,,,72.0
653,Liberal Party,5.0,A woman,Completed secondary/high school,12.0,"$1 to $30,000",31.0
656,NDP,1.0,A man,Bachelor's degree,39000.0,"$30,001 to $60,000",23.0
660,Conservative Party,6.0,A man,Completed secondary/high school,58000.0,"$30,001 to $60,000",63.0
661,,2.0,A woman,Completed secondary/high school,60000.0,"$30,001 to $60,000",18.0
665,,5.0,A man,Some college/CEGEP,,,60.0
667,Liberal Party,3.0,A woman,Completed college/CEGEP,41000.0,"$30,001 to $60,000",71.0
